OrdFY25	POAexemptCode	Description
64290	S82.864P	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with malunion"
64291	S82.864Q	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with malunion"
64292	S82.864R	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64293	S82.864S	"Nondisplaced Maisonneuve's fracture of right leg, sequela"
64298	S82.865D	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with routine healing"
64299	S82.865E	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with routine healing"
64300	S82.865F	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64301	S82.865G	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with delayed healing"
64302	S82.865H	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with delayed healing"
64303	S82.865J	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64304	S82.865K	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with nonunion"
64305	S82.865M	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with nonunion"
64306	S82.865N	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64307	S82.865P	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with malunion"
64308	S82.865Q	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with malunion"
64309	S82.865R	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64310	S82.865S	"Nondisplaced Maisonneuve's fracture of left leg, sequela"
64315	S82.866D	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with routine healing"
64316	S82.866E	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with routine healing"
64317	S82.866F	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64318	S82.866G	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with delayed healing"
64319	S82.866H	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with delayed healing"
64320	S82.866J	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64321	S82.866K	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with nonunion"
64322	S82.866M	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with nonunion"
64323	S82.866N	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64324	S82.866P	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with malunion"
64325	S82.866Q	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with malunion"
64326	S82.866R	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64327	S82.866S	"Nondisplaced Maisonneuve's fracture of unspecified leg, sequela"
64333	S82.871D	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with routine healing"
64334	S82.871E	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with routine healing"
64335	S82.871F	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64336	S82.871G	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with delayed healing"
64337	S82.871H	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
64338	S82.871J	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64339	S82.871K	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with nonunion"
64340	S82.871M	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with nonunion"
64341	S82.871N	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64342	S82.871P	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with malunion"
64343	S82.871Q	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with malunion"
64344	S82.871R	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64345	S82.871S	"Displaced pilon fracture of right tibia, sequela"
64350	S82.872D	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with routine healing"
64351	S82.872E	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with routine healing"
64352	S82.872F	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64353	S82.872G	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with delayed healing"
64354	S82.872H	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
64355	S82.872J	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64356	S82.872K	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with nonunion"
64357	S82.872M	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with nonunion"
64358	S82.872N	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64359	S82.872P	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with malunion"
64360	S82.872Q	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with malunion"
64361	S82.872R	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64362	S82.872S	"Displaced pilon fracture of left tibia, sequela"
64367	S82.873D	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with routine healing"
64368	S82.873E	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
64369	S82.873F	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64370	S82.873G	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
64371	S82.873H	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
64372	S82.873J	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64373	S82.873K	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with nonunion"
64374	S82.873M	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
64375	S82.873N	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64376	S82.873P	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with malunion"
64377	S82.873Q	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
64378	S82.873R	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64379	S82.873S	"Displaced pilon fracture of unspecified tibia, sequela"
64384	S82.874D	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with routine healing"
64385	S82.874E	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with routine healing"
64386	S82.874F	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64387	S82.874G	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with delayed healing"
64388	S82.874H	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
64389	S82.874J	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
64390	S82.874K	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with nonunion"
64391	S82.874M	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with nonunion"
64392	S82.874N	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
64393	S82.874P	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with malunion"
64394	S82.874Q	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with malunion"
64395	S82.874R	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
64396	S82.874S	"Nondisplaced pilon fracture of right tibia, sequela"
64401	S82.875D	"Nondisplaced pilon fracture of left tibia, subsequent encounter for closed fracture with routine healing"
64402	S82.875E	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with routine healing"
64403	S82.875F	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
64404	S82.875G	"Nondisplaced pilon fracture of left tibia, subsequent encounter for closed fracture with delayed healing"
64405	S82.875H	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
64406	S82.875J	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
